Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
CRr3G3H3I__bin_3	3867	7934	11090	47220	27455	34500	27592	31769	27292	29494	10293	19662	23192	22056	16445	35738	31515	28404	6818	14792	22547	21071	4497	132175	389082	516812	471128	6227	6422	9245	12045	24238	11349	51458	70385	14139	17139	40971	35566	13037	75267	6811	204168	38194	45137	2877	4925	17721	527659	200000	12375	6955	17932	19544	24372	56276	28038	8178	6220	508739	6953	20390	28954	2573	996	23001
SEr3G3H3I__bin_108	9936	12734	11920	2192	10294	7066	2828	4774	2708	12377	12037	24224	21332	34553	19376	6201	6037	5612	15943	29289	19360	38413	45697	35434	83136	58207	69313	45044	38163	43241	32512	46622	25301	45442	49097	38142	14524	5409	18570	57009	12633	113430	45500	43585	29713	108421	88144	48553	50345	149421	137198	14384	27760	13912	52388	15574	14684	18774	76738	102789	213248	204019	90768	330821	275349	1917938
SEr2D2E2F__bin_66	6303	37717	46785	12854	6934	40746	8191	12055	11541	23399	6870	8135	22240	17857	12387	5028	5831	8279	91605	362676	212111	52998	26454	36273	93848	192391	198149	33871	28961	14241	2612	10767	3510	35499	40696	26995	4614	6954	13837	28245	61988	31143	296273	167488	84974	192680	198982	320923	441522	1920600	124106	104671	432956	194872	6849	13513	5306	4793	15052	189381	176897	130232	129689	26245	20000	215836
LASAr3G3H3I__bin_124	5857	5293	5415	9750	7930	13745	8220	8492	9065	22823	5990	9169	29736	24590	19007	14466	14148	12092	14467	8587	5267	3260	1709	6159	188363	23725	23285	6038	5210	12894	45788	48884	140960	23366	27642	14156	16901	16871	128893	59664	49318	14727	2363	13441	5721	847	14683	22653	221708	103901	9782	14435	10087	5856	62316	30855	26059	6293	2019	19473	5031	36338	38721	934	614	28440
CRr2D2E2F__bin_117	187977	149853	581656	1811	15510	13158	892	1438	802	63579	15516	21332	92884	36414	54072	13930	17658	12809	122091	107679	89061	161481	360721	169461	10938	11758	12219	45516	40204	22254	111110	102996	137591	157982	345292	348655	101688	93108	127590	50002	52608	159665	6022	14909	14613	3770	5850	4577	8241	21791	5002	168928	101783	89654	9730	28151	12668	256791	114343	19070	3929	3570	2118	3042	5931	56067
SEr3G3H3I__bin_199	54389	85201	45139	4661	44990	42174	4274	4926	8389	48162	69655	29085	86203	52060	60346	25998	27820	26541	18524	56829	35191	107716	76872	141774	71230	62975	37871	3527	2702	1683	154138	81780	67203	64706	90984	53393	55618	21535	104847	16394	35542	22840	14285	35523	20612	12687	9624	13302	59368	16218	8475	21148	53771	29519	1462	3164	1277	30392	54313	44590	116030	268343	217759	198146	484766	337797
LASYr2D2E2F__bin_65	451	7996	4640	447	6905	11121	114	181	149	79722	209560	102179	45141	64673	66293	147733	149404	28518	819	2572	2104	859	863	705	2055	1216	2016	15646	9184	15977	117533	150985	62642	142311	131499	65836	200583	81289	280908	66406	4508	61860	6705	3257	2003	10484	3712	2857	1137	6857	3649	721	2332	2542	20820	9608	5676	886	12252	2506	261020	221403	135728	20529	38608	202573
BOr3G3H3I__bin_31	961	881	4752	6946	2241	1874	10783	10666	16519	8863	20154	24860	7400	9956	18647	35125	149105	47932	1109	1549	1979	596	734	1410	1745	2621	1772	1423	1344	2250	5038	4154	58524	1810	48425	1617	3813	46506	7079	1081	3177	1508	515	1247	1269	562	895	1445	2401	3681	662	1198	2213	2060	1972	25430	21868	2345	2029	1582	1305	1731	2504	1138	428	5821
BOr1A1B1C__bin_27	34778	50694	44862	58613	63302	132916	39465	48553	68972	557050	377727	404585	471351	255195	373536	161053	213786	131643	11977	49119	54199	43433	55757	244461	18562	12292	20281	40082	40305	34681	148975	199981	142378	19524	105914	30245	1005001	308557	534663	18158	42555	24451	6982	26447	22971	7623	18281	18560	33893	38241	5641	19486	61601	50287	52775	152908	105302	100001	18026	18116	68185	15648	12221	21822	4466	79474
LASYr2D2E2F__bin_33	21382	25811	20002	20861	30568	35738	47662	37727	47295	73352	181215	123135	144400	96329	125744	437799	444872	180442	18332	25728	24148	22615	19594	22227	39418	35267	41597	15281	11008	14973	775616	1930907	1485667	194302	770040	212199	1054569	742961	588057	402936	309904	208709	11932	29545	24335	5636	17310	19241	32060	39920	15451	16721	27281	23544	1165436	1243322	492685	219719	250660	41602	19288	52191	73559	82141	127131	69993
