phrog_id	phrog	annot	category
2384	phrog_2384	NA	unknown function
2385	phrog_2385	NA	unknown function
2386	phrog_2386	virion structural protein	head and packaging
2387	phrog_2387	nucleotide kinase	other
2388	phrog_2388	NA	unknown function
2389	phrog_2389	QueD-like  6-pyruvoyl-tetrahydropterin synthase	moron, auxiliary metabolic gene and host takeover
2390	phrog_2390	NA	unknown function
2391	phrog_2391	DNA binding protein	DNA, RNA and nucleotide metabolism
2392	phrog_2392	ABC transporter	moron, auxiliary metabolic gene and host takeover
2393	phrog_2393	transposase	integration and excision
2394	phrog_2394	Kil protein for bacterial septation inhibition	other
2395	phrog_2395	NA	unknown function
2396	phrog_2396	NA	unknown function
2397	phrog_2397	NA	unknown function
2398	phrog_2398	NA	unknown function
2399	phrog_2399	NA	unknown function
2400	phrog_2400	NA	unknown function
2401	phrog_2401	periplasmic protein	other
2402	phrog_2402	NA	unknown function
2403	phrog_2403	NA	unknown function
2404	phrog_2404	NA	unknown function
2405	phrog_2405	NA	unknown function
2406	phrog_2406	NA	unknown function
2407	phrog_2407	NA	unknown function
2408	phrog_2408	membrane protein	moron, auxiliary metabolic gene and host takeover
2409	phrog_2409	NA	unknown function
2410	phrog_2410	NA	unknown function
2411	phrog_2411	NA	unknown function
2412	phrog_2412	NA	unknown function
2413	phrog_2413	NA	unknown function
2414	phrog_2414	terminase small subunit	head and packaging
2415	phrog_2415	NA	unknown function
2416	phrog_2416	NA	unknown function
2417	phrog_2417	NA	unknown function
2418	phrog_2418	NA	unknown function
2419	phrog_2419	NA	unknown function
2420	phrog_2420	tail fiber protein	tail
2421	phrog_2421	NA	unknown function
2422	phrog_2422	transposase	integration and excision
2423	phrog_2423	NA	unknown function
2424	phrog_2424	NA	unknown function
2425	phrog_2425	NA	unknown function
2426	phrog_2426	NA	unknown function
2427	phrog_2427	NA	unknown function
2428	phrog_2428	NA	unknown function
2429	phrog_2429	involved in bacteriocin production or immunity	moron, auxiliary metabolic gene and host takeover
2430	phrog_2430	NA	unknown function
2431	phrog_2431	NA	unknown function
2432	phrog_2432	NA	unknown function
2433	phrog_2433	NA	unknown function
2434	phrog_2434	NA	unknown function
2435	phrog_2435	NA	unknown function
2436	phrog_2436	NA	unknown function
2437	phrog_2437	NA	unknown function
2438	phrog_2438	NA	unknown function
2439	phrog_2439	transcriptional regulator	transcription regulation
2440	phrog_2440	transcriptional regulator	transcription regulation
2441	phrog_2441	decoy of host sigma32	moron, auxiliary metabolic gene and host takeover
2442	phrog_2442	NA	unknown function
2443	phrog_2443	amidoligase enzyme	other
2444	phrog_2444	NA	unknown function
2445	phrog_2445	Erf recombination cofactor Arf	DNA, RNA and nucleotide metabolism
2446	phrog_2446	NA	unknown function
2447	phrog_2447	replication initiation protein	DNA, RNA and nucleotide metabolism
2448	phrog_2448	NA	unknown function
2449	phrog_2449	single strand annealing protein	DNA, RNA and nucleotide metabolism
2450	phrog_2450	NA	unknown function
2451	phrog_2451	NA	unknown function
2452	phrog_2452	NA	unknown function
2453	phrog_2453	NA	unknown function
2454	phrog_2454	NA	unknown function
2455	phrog_2455	NA	unknown function
2456	phrog_2456	glycosyltransferase	moron, auxiliary metabolic gene and host takeover
2457	phrog_2457	NA	unknown function
2458	phrog_2458	NA	unknown function
2459	phrog_2459	NA	unknown function
2460	phrog_2460	NA	unknown function
2461	phrog_2461	Kil protein for bacterial septation inhibition	other
2462	phrog_2462	NA	unknown function
2463	phrog_2463	NA	unknown function
2464	phrog_2464	NA	unknown function
