phrog_id	phrog	annot	category
19158	phrog_19158	tail length tape measure protein	tail
19159	phrog_19159	NA	unknown function
19160	phrog_19160	NA	unknown function
19161	phrog_19161	NA	unknown function
19162	phrog_19162	NA	unknown function
19163	phrog_19163	NA	unknown function
19164	phrog_19164	NA	unknown function
19165	phrog_19165	NA	unknown function
19166	phrog_19166	NA	unknown function
19167	phrog_19167	NA	unknown function
19168	phrog_19168	NA	unknown function
19169	phrog_19169	endonuclease	DNA, RNA and nucleotide metabolism
19170	phrog_19170	NA	unknown function
19171	phrog_19171	NA	unknown function
19172	phrog_19172	NA	unknown function
19173	phrog_19173	NA	unknown function
19174	phrog_19174	NA	unknown function
19175	phrog_19175	NA	unknown function
19176	phrog_19176	NA	unknown function
19177	phrog_19177	NA	unknown function
19178	phrog_19178	NA	unknown function
19179	phrog_19179	terminase large subunit	head and packaging
19180	phrog_19180	NA	unknown function
19181	phrog_19181	NA	unknown function
19182	phrog_19182	NA	unknown function
19183	phrog_19183	NA	unknown function
19184	phrog_19184	NA	unknown function
19185	phrog_19185	NA	unknown function
19186	phrog_19186	NA	unknown function
19187	phrog_19187	NA	unknown function
19188	phrog_19188	NA	unknown function
19189	phrog_19189	NA	unknown function
19190	phrog_19190	NA	unknown function
19191	phrog_19191	NA	unknown function
19192	phrog_19192	NA	unknown function
19193	phrog_19193	NA	unknown function
19194	phrog_19194	NA	unknown function
19195	phrog_19195	virion structural protein	head and packaging
19196	phrog_19196	NA	unknown function
19197	phrog_19197	NA	unknown function
19198	phrog_19198	NA	unknown function
19199	phrog_19199	NA	unknown function
19200	phrog_19200	virion structural protein	head and packaging
19201	phrog_19201	NA	unknown function
19202	phrog_19202	NA	unknown function
19203	phrog_19203	NA	unknown function
19204	phrog_19204	NA	unknown function
19205	phrog_19205	NA	unknown function
19206	phrog_19206	NA	unknown function
19207	phrog_19207	NA	unknown function
19208	phrog_19208	NA	unknown function
19209	phrog_19209	NA	unknown function
19210	phrog_19210	NA	unknown function
19211	phrog_19211	NA	unknown function
19212	phrog_19212	NA	unknown function
19213	phrog_19213	NA	unknown function
19214	phrog_19214	NA	unknown function
19215	phrog_19215	NA	unknown function
19216	phrog_19216	NA	unknown function
19217	phrog_19217	NA	unknown function
19218	phrog_19218	NA	unknown function
19219	phrog_19219	NA	unknown function
19220	phrog_19220	NA	unknown function
19221	phrog_19221	NA	unknown function
19222	phrog_19222	NA	unknown function
19223	phrog_19223	NA	unknown function
19224	phrog_19224	NA	unknown function
19225	phrog_19225	NA	unknown function
19226	phrog_19226	NA	unknown function
19227	phrog_19227	NA	unknown function
19228	phrog_19228	NA	unknown function
19229	phrog_19229	NA	unknown function
19230	phrog_19230	NA	unknown function
19231	phrog_19231	NA	unknown function
19232	phrog_19232	NA	unknown function
19233	phrog_19233	NA	unknown function
19234	phrog_19234	NA	unknown function
19235	phrog_19235	NA	unknown function
19236	phrog_19236	NA	unknown function
19237	phrog_19237	membrane protein	moron, auxiliary metabolic gene and host takeover
19238	phrog_19238	NA	unknown function
19239	phrog_19239	NA	unknown function
19240	phrog_19240	NA	unknown function
19241	phrog_19241	NA	unknown function
19242	phrog_19242	NA	unknown function
19243	phrog_19243	NA	unknown function
19244	phrog_19244	NA	unknown function
19245	phrog_19245	NA	unknown function
19246	phrog_19246	NA	unknown function
19247	phrog_19247	NA	unknown function
19248	phrog_19248	NA	unknown function
19249	phrog_19249	minor tail protein	tail
19250	phrog_19250	NA	unknown function
19251	phrog_19251	NA	unknown function
19252	phrog_19252	dehydrogenase	other
19253	phrog_19253	NA	unknown function
19254	phrog_19254	NA	unknown function
19255	phrog_19255	NA	unknown function
19256	phrog_19256	NA	unknown function
19257	phrog_19257	NA	unknown function
19258	phrog_19258	NA	unknown function
19259	phrog_19259	NA	unknown function
19260	phrog_19260	NA	unknown function
19261	phrog_19261	NA	unknown function
19262	phrog_19262	NA	unknown function
19263	phrog_19263	NA	unknown function
19264	phrog_19264	NA	unknown function
19265	phrog_19265	NA	unknown function
19266	phrog_19266	NA	unknown function
19267	phrog_19267	NA	unknown function
19268	phrog_19268	NA	unknown function
19269	phrog_19269	NA	unknown function
19270	phrog_19270	NA	unknown function
19271	phrog_19271	NA	unknown function
19272	phrog_19272	NA	unknown function
19273	phrog_19273	NA	unknown function
19274	phrog_19274	NA	unknown function
19275	phrog_19275	NA	unknown function
19276	phrog_19276	NA	unknown function
19277	phrog_19277	NA	unknown function
19278	phrog_19278	NA	unknown function
19279	phrog_19279	phosphodiesterase	other
19280	phrog_19280	NA	unknown function
19281	phrog_19281	NA	unknown function
19282	phrog_19282	NA	unknown function
19283	phrog_19283	NA	unknown function
19284	phrog_19284	NA	unknown function
19285	phrog_19285	NA	unknown function
19286	phrog_19286	NA	unknown function
19287	phrog_19287	membrane protein	moron, auxiliary metabolic gene and host takeover
19288	phrog_19288	NA	unknown function
19289	phrog_19289	NA	unknown function
19290	phrog_19290	NA	unknown function
19291	phrog_19291	NA	unknown function
19292	phrog_19292	NA	unknown function
19293	phrog_19293	virion structural protein	head and packaging
19294	phrog_19294	tail fiber protein	tail
19295	phrog_19295	NA	unknown function
19296	phrog_19296	NA	unknown function
19297	phrog_19297	NA	unknown function
19298	phrog_19298	NA	unknown function
19299	phrog_19299	terminase large subunit	head and packaging
19300	phrog_19300	NA	unknown function
19301	phrog_19301	NA	unknown function
19302	phrog_19302	NA	unknown function
19303	phrog_19303	NA	unknown function
19304	phrog_19304	NA	unknown function
19305	phrog_19305	NA	unknown function
19306	phrog_19306	NA	unknown function
19307	phrog_19307	virion structural protein	head and packaging
19308	phrog_19308	NA	unknown function
19309	phrog_19309	NA	unknown function
19310	phrog_19310	NA	unknown function
19311	phrog_19311	NA	unknown function
19312	phrog_19312	NA	unknown function
19313	phrog_19313	NA	unknown function
19314	phrog_19314	NA	unknown function
19315	phrog_19315	NA	unknown function
19316	phrog_19316	NA	unknown function
19317	phrog_19317	NA	unknown function
19318	phrog_19318	NA	unknown function
19319	phrog_19319	NA	unknown function
19320	phrog_19320	NA	unknown function
19321	phrog_19321	NA	unknown function
19322	phrog_19322	NA	unknown function
19323	phrog_19323	NA	unknown function
19324	phrog_19324	NA	unknown function
19325	phrog_19325	NA	unknown function
19326	phrog_19326	NA	unknown function
19327	phrog_19327	NA	unknown function
19328	phrog_19328	NA	unknown function
19329	phrog_19329	NA	unknown function
19330	phrog_19330	NA	unknown function
19331	phrog_19331	NA	unknown function
19332	phrog_19332	tail protein	tail
19333	phrog_19333	NA	unknown function
19334	phrog_19334	NA	unknown function
19335	phrog_19335	NA	unknown function
19336	phrog_19336	NA	unknown function
19337	phrog_19337	NA	unknown function
19338	phrog_19338	NA	unknown function
19339	phrog_19339	NA	unknown function
19340	phrog_19340	NA	unknown function
19341	phrog_19341	NA	unknown function
19342	phrog_19342	NA	unknown function
19343	phrog_19343	membrane protein	moron, auxiliary metabolic gene and host takeover
19344	phrog_19344	NA	unknown function
19345	phrog_19345	NA	unknown function
19346	phrog_19346	NA	unknown function
19347	phrog_19347	NA	unknown function
19348	phrog_19348	NA	unknown function
19349	phrog_19349	NA	unknown function
19350	phrog_19350	NA	unknown function
19351	phrog_19351	NA	unknown function
19352	phrog_19352	NA	unknown function
19353	phrog_19353	NA	unknown function
19354	phrog_19354	NA	unknown function
19355	phrog_19355	NA	unknown function
19356	phrog_19356	NA	unknown function
19357	phrog_19357	NA	unknown function
19358	phrog_19358	NA	unknown function
19359	phrog_19359	NA	unknown function
19360	phrog_19360	NA	unknown function
19361	phrog_19361	NA	unknown function
19362	phrog_19362	NA	unknown function
19363	phrog_19363	NA	unknown function
19364	phrog_19364	NA	unknown function
19365	phrog_19365	NA	unknown function
19366	phrog_19366	NA	unknown function
19367	phrog_19367	NA	unknown function
19368	phrog_19368	NA	unknown function
19369	phrog_19369	NA	unknown function
19370	phrog_19370	NA	unknown function
19371	phrog_19371	NA	unknown function
19372	phrog_19372	NA	unknown function
19373	phrog_19373	NA	unknown function
19374	phrog_19374	tail protein	tail
19375	phrog_19375	NA	unknown function
19376	phrog_19376	NA	unknown function
19377	phrog_19377	NA	unknown function
19378	phrog_19378	NA	unknown function
19379	phrog_19379	NA	unknown function
19380	phrog_19380	NA	unknown function
19381	phrog_19381	NA	unknown function
19382	phrog_19382	NA	unknown function
19383	phrog_19383	NA	unknown function
19384	phrog_19384	NA	unknown function
19385	phrog_19385	NA	unknown function
19386	phrog_19386	NA	unknown function
19387	phrog_19387	NA	unknown function
19388	phrog_19388	NA	unknown function
19389	phrog_19389	NA	unknown function
19390	phrog_19390	NA	unknown function
19391	phrog_19391	NA	unknown function
19392	phrog_19392	NA	unknown function
19393	phrog_19393	NA	unknown function
19394	phrog_19394	tail fiber protein	tail
19395	phrog_19395	tail fiber protein; host specificity	tail
19396	phrog_19396	NA	unknown function
19397	phrog_19397	NA	unknown function
19398	phrog_19398	NA	unknown function
19399	phrog_19399	NA	unknown function
19400	phrog_19400	NA	unknown function
19401	phrog_19401	virion structural protein	head and packaging
19402	phrog_19402	NA	unknown function
19403	phrog_19403	head protein	head and packaging
19404	phrog_19404	NA	unknown function
19405	phrog_19405	NA	unknown function
19406	phrog_19406	NA	unknown function
19407	phrog_19407	NA	unknown function
19408	phrog_19408	NA	unknown function
19409	phrog_19409	NA	unknown function
19410	phrog_19410	virion structural protein	head and packaging
19411	phrog_19411	NA	unknown function
19412	phrog_19412	NA	unknown function
19413	phrog_19413	NA	unknown function
19414	phrog_19414	antitoxin from a toxin-antitoxin system	moron, auxiliary metabolic gene and host takeover
19415	phrog_19415	NA	unknown function
19416	phrog_19416	NA	unknown function
19417	phrog_19417	NA	unknown function
19418	phrog_19418	virion structural protein	head and packaging
19419	phrog_19419	NA	unknown function
19420	phrog_19420	NA	unknown function
19421	phrog_19421	head decoration	head and packaging
19422	phrog_19422	NA	unknown function
19423	phrog_19423	NA	unknown function
19424	phrog_19424	NA	unknown function
19425	phrog_19425	phosphohydrolase	other
19426	phrog_19426	NA	unknown function
19427	phrog_19427	NA	unknown function
19428	phrog_19428	NA	unknown function
19429	phrog_19429	NA	unknown function
19430	phrog_19430	NA	unknown function
19431	phrog_19431	NA	unknown function
19432	phrog_19432	NA	unknown function
19433	phrog_19433	NA	unknown function
19434	phrog_19434	NA	unknown function
19435	phrog_19435	NA	unknown function
19436	phrog_19436	NA	unknown function
19437	phrog_19437	NA	unknown function
19438	phrog_19438	DNA binding protein	DNA, RNA and nucleotide metabolism
19439	phrog_19439	NA	unknown function
19440	phrog_19440	NA	unknown function
19441	phrog_19441	NA	unknown function
19442	phrog_19442	NA	unknown function
19443	phrog_19443	minor head protein	head and packaging
19444	phrog_19444	NA	unknown function
19445	phrog_19445	tail tip protein Tal	head and packaging
19446	phrog_19446	homing endonuclease	DNA, RNA and nucleotide metabolism
19447	phrog_19447	NA	unknown function
19448	phrog_19448	NA	unknown function
19449	phrog_19449	NA	unknown function
19450	phrog_19450	NA	unknown function
19451	phrog_19451	NA	unknown function
19452	phrog_19452	NA	unknown function
19453	phrog_19453	NA	unknown function
19454	phrog_19454	NA	unknown function
19455	phrog_19455	NA	unknown function
19456	phrog_19456	NA	unknown function
19457	phrog_19457	NA	unknown function
19458	phrog_19458	primase	DNA, RNA and nucleotide metabolism
19459	phrog_19459	NA	unknown function
19460	phrog_19460	NA	unknown function
19461	phrog_19461	NA	unknown function
19462	phrog_19462	NA	unknown function
19463	phrog_19463	NA	unknown function
19464	phrog_19464	NA	unknown function
19465	phrog_19465	NA	unknown function
19466	phrog_19466	NA	unknown function
19467	phrog_19467	NA	unknown function
19468	phrog_19468	NA	unknown function
19469	phrog_19469	NA	unknown function
19470	phrog_19470	NA	unknown function
19471	phrog_19471	NA	unknown function
19472	phrog_19472	NA	unknown function
19473	phrog_19473	NA	unknown function
19474	phrog_19474	NA	unknown function
19475	phrog_19475	NA	unknown function
19476	phrog_19476	NA	unknown function
19477	phrog_19477	NA	unknown function
19478	phrog_19478	NA	unknown function
19479	phrog_19479	NA	unknown function
19480	phrog_19480	head morphogenesis	head and packaging
19481	phrog_19481	NA	unknown function
19482	phrog_19482	NA	unknown function
19483	phrog_19483	NA	unknown function
19484	phrog_19484	NA	unknown function
19485	phrog_19485	NA	unknown function
19486	phrog_19486	head-tail connector protein	connector
19487	phrog_19487	tail length tape measure protein	tail
19488	phrog_19488	radical SAM domain-containing protein	other
19489	phrog_19489	NA	unknown function
19490	phrog_19490	NA	unknown function
19491	phrog_19491	NA	unknown function
19492	phrog_19492	NA	unknown function
19493	phrog_19493	NA	unknown function
19494	phrog_19494	NA	unknown function
19495	phrog_19495	NA	unknown function
19496	phrog_19496	NA	unknown function
19497	phrog_19497	NA	unknown function
19498	phrog_19498	NA	unknown function
19499	phrog_19499	NA	unknown function
19500	phrog_19500	NA	unknown function
19501	phrog_19501	NA	unknown function
19502	phrog_19502	NA	unknown function
19503	phrog_19503	NA	unknown function
19504	phrog_19504	NA	unknown function
19505	phrog_19505	NA	unknown function
19506	phrog_19506	tail protein	tail
19507	phrog_19507	membrane protein	moron, auxiliary metabolic gene and host takeover
19508	phrog_19508	holin	lysis
19509	phrog_19509	NA	unknown function
19510	phrog_19510	NA	unknown function
19511	phrog_19511	NA	unknown function
19512	phrog_19512	NA	unknown function
19513	phrog_19513	NA	unknown function
19514	phrog_19514	NA	unknown function
19515	phrog_19515	NA	unknown function
19516	phrog_19516	NA	unknown function
19517	phrog_19517	NA	unknown function
19518	phrog_19518	NA	unknown function
19519	phrog_19519	neck protein	connector
19520	phrog_19520	NA	unknown function
19521	phrog_19521	NA	unknown function
19522	phrog_19522	NA	unknown function
19523	phrog_19523	NA	unknown function
19524	phrog_19524	NA	unknown function
19525	phrog_19525	NA	unknown function
19526	phrog_19526	NA	unknown function
19527	phrog_19527	NA	unknown function
19528	phrog_19528	tail spike protein	tail
19529	phrog_19529	NA	unknown function
19530	phrog_19530	NA	unknown function
19531	phrog_19531	NA	unknown function
19532	phrog_19532	DNA binding protein	DNA, RNA and nucleotide metabolism
19533	phrog_19533	NA	unknown function
19534	phrog_19534	glucosyltransferase	moron, auxiliary metabolic gene and host takeover
19535	phrog_19535	NA	unknown function
19536	phrog_19536	NA	unknown function
19537	phrog_19537	NA	unknown function
19538	phrog_19538	NA	unknown function
19539	phrog_19539	NA	unknown function
19540	phrog_19540	NA	unknown function
19541	phrog_19541	NA	unknown function
19542	phrog_19542	NA	unknown function
19543	phrog_19543	NA	unknown function
19544	phrog_19544	NA	unknown function
19545	phrog_19545	NA	unknown function
19546	phrog_19546	NA	unknown function
19547	phrog_19547	NA	unknown function
19548	phrog_19548	NA	unknown function
19549	phrog_19549	NA	unknown function
19550	phrog_19550	NA	unknown function
19551	phrog_19551	NA	unknown function
19552	phrog_19552	NA	unknown function
19553	phrog_19553	minor tail protein	tail
19554	phrog_19554	NA	unknown function
19555	phrog_19555	NA	unknown function
19556	phrog_19556	tail fiber protein; host specificity	tail
19557	phrog_19557	NA	unknown function
19558	phrog_19558	virion structural protein	head and packaging
19559	phrog_19559	NA	unknown function
19560	phrog_19560	virion structural protein	head and packaging
19561	phrog_19561	NA	unknown function
19562	phrog_19562	NA	unknown function
19563	phrog_19563	NA	unknown function
19564	phrog_19564	NA	unknown function
19565	phrog_19565	membrane protein	moron, auxiliary metabolic gene and host takeover
19566	phrog_19566	NA	unknown function
19567	phrog_19567	tail fiber protein	tail
19568	phrog_19568	NA	unknown function
19569	phrog_19569	NA	unknown function
19570	phrog_19570	NA	unknown function
19571	phrog_19571	NA	unknown function
19572	phrog_19572	NA	unknown function
19573	phrog_19573	NA	unknown function
19574	phrog_19574	NA	unknown function
19575	phrog_19575	NA	unknown function
19576	phrog_19576	NA	unknown function
19577	phrog_19577	minor head protein	head and packaging
19578	phrog_19578	NA	unknown function
19579	phrog_19579	transcriptional regulator	transcription regulation
19580	phrog_19580	NA	unknown function
19581	phrog_19581	NA	unknown function
19582	phrog_19582	NA	unknown function
19583	phrog_19583	NA	unknown function
19584	phrog_19584	NA	unknown function
19585	phrog_19585	NA	unknown function
19586	phrog_19586	NA	unknown function
19587	phrog_19587	NA	unknown function
19588	phrog_19588	NA	unknown function
19589	phrog_19589	NA	unknown function
19590	phrog_19590	NA	unknown function
19591	phrog_19591	NA	unknown function
19592	phrog_19592	NA	unknown function
19593	phrog_19593	NA	unknown function
19594	phrog_19594	NA	unknown function
19595	phrog_19595	NA	unknown function
19596	phrog_19596	NA	unknown function
19597	phrog_19597	NA	unknown function
19598	phrog_19598	NA	unknown function
19599	phrog_19599	NA	unknown function
19600	phrog_19600	ATPase	other
19601	phrog_19601	baseplate wedge subunit	tail
19602	phrog_19602	tail fiber protein	tail
19603	phrog_19603	NA	unknown function
19604	phrog_19604	NA	unknown function
19605	phrog_19605	NA	unknown function
19606	phrog_19606	NA	unknown function
19607	phrog_19607	NA	unknown function
19608	phrog_19608	NA	unknown function
19609	phrog_19609	NA	unknown function
19610	phrog_19610	NA	unknown function
19611	phrog_19611	NA	unknown function
19612	phrog_19612	NA	unknown function
19613	phrog_19613	NA	unknown function
19614	phrog_19614	NA	unknown function
19615	phrog_19615	NA	unknown function
19616	phrog_19616	NA	unknown function
19617	phrog_19617	holin	lysis
19618	phrog_19618	tail collar protein	tail
19619	phrog_19619	NA	unknown function
19620	phrog_19620	NA	unknown function
19621	phrog_19621	NA	unknown function
19622	phrog_19622	esterase/lipase	other
19623	phrog_19623	virion structural protein	head and packaging
19624	phrog_19624	NA	unknown function
19625	phrog_19625	NA	unknown function
19626	phrog_19626	NA	unknown function
19627	phrog_19627	NA	unknown function
19628	phrog_19628	NA	unknown function
19629	phrog_19629	NA	unknown function
19630	phrog_19630	virion structural protein	head and packaging
19631	phrog_19631	NA	unknown function
19632	phrog_19632	NA	unknown function
19633	phrog_19633	NA	unknown function
19634	phrog_19634	NA	unknown function
19635	phrog_19635	NA	unknown function
19636	phrog_19636	NA	unknown function
19637	phrog_19637	NA	unknown function
19638	phrog_19638	NA	unknown function
19639	phrog_19639	NA	unknown function
19640	phrog_19640	NA	unknown function
19641	phrog_19641	NA	unknown function
19642	phrog_19642	NA	unknown function
19643	phrog_19643	RNA polymerase sigma factor	transcription regulation
19644	phrog_19644	DNA binding protein	DNA, RNA and nucleotide metabolism
19645	phrog_19645	NA	unknown function
19646	phrog_19646	virion structural protein	head and packaging
19647	phrog_19647	NA	unknown function
19648	phrog_19648	long tail fiber protein proximal connector	tail
19649	phrog_19649	NA	unknown function
19650	phrog_19650	NA	unknown function
19651	phrog_19651	NA	unknown function
19652	phrog_19652	NA	unknown function
19653	phrog_19653	minor head protein	head and packaging
19654	phrog_19654	NA	unknown function
19655	phrog_19655	NA	unknown function
19656	phrog_19656	NA	unknown function
19657	phrog_19657	nudix hydrolase	other
19658	phrog_19658	replication initiation protein	DNA, RNA and nucleotide metabolism
19659	phrog_19659	NA	unknown function
19660	phrog_19660	NA	unknown function
19661	phrog_19661	NA	unknown function
19662	phrog_19662	NA	unknown function
19663	phrog_19663	NA	unknown function
19664	phrog_19664	NA	unknown function
19665	phrog_19665	NA	unknown function
19666	phrog_19666	tail sheath	tail
19667	phrog_19667	NA	unknown function
19668	phrog_19668	NA	unknown function
19669	phrog_19669	NA	unknown function
19670	phrog_19670	virion structural protein	head and packaging
19671	phrog_19671	NA	unknown function
19672	phrog_19672	NA	unknown function
19673	phrog_19673	NA	unknown function
19674	phrog_19674	NA	unknown function
19675	phrog_19675	NA	unknown function
19676	phrog_19676	NA	unknown function
19677	phrog_19677	NA	unknown function
19678	phrog_19678	NA	unknown function
19679	phrog_19679	NA	unknown function
19680	phrog_19680	NA	unknown function
19681	phrog_19681	NA	unknown function
19682	phrog_19682	NA	unknown function
19683	phrog_19683	virion structural protein	head and packaging
19684	phrog_19684	NA	unknown function
19685	phrog_19685	NA	unknown function
19686	phrog_19686	NA	unknown function
19687	phrog_19687	NA	unknown function
19688	phrog_19688	NA	unknown function
19689	phrog_19689	NA	unknown function
19690	phrog_19690	NA	unknown function
19691	phrog_19691	virion structural protein	head and packaging
19692	phrog_19692	NA	unknown function
19693	phrog_19693	NA	unknown function
19694	phrog_19694	tail assembly chaperone	tail
19695	phrog_19695	NA	unknown function
19696	phrog_19696	NA	unknown function
19697	phrog_19697	NA	unknown function
19698	phrog_19698	NA	unknown function
19699	phrog_19699	NA	unknown function
19700	phrog_19700	NA	unknown function
19701	phrog_19701	NA	unknown function
19702	phrog_19702	NA	unknown function
19703	phrog_19703	NA	unknown function
19704	phrog_19704	NA	unknown function
19705	phrog_19705	NA	unknown function
19706	phrog_19706	NA	unknown function
19707	phrog_19707	NA	unknown function
19708	phrog_19708	NA	unknown function
19709	phrog_19709	NA	unknown function
19710	phrog_19710	NA	unknown function
19711	phrog_19711	NA	unknown function
19712	phrog_19712	NA	unknown function
19713	phrog_19713	NA	unknown function
19714	phrog_19714	NA	unknown function
19715	phrog_19715	NA	unknown function
19716	phrog_19716	NA	unknown function
19717	phrog_19717	NA	unknown function
19718	phrog_19718	NA	unknown function
19719	phrog_19719	NA	unknown function
19720	phrog_19720	NA	unknown function
19721	phrog_19721	NA	unknown function
19722	phrog_19722	NA	unknown function
19723	phrog_19723	NA	unknown function
19724	phrog_19724	NA	unknown function
19725	phrog_19725	NA	unknown function
19726	phrog_19726	NA	unknown function
19727	phrog_19727	NA	unknown function
19728	phrog_19728	NA	unknown function
19729	phrog_19729	NA	unknown function
19730	phrog_19730	NA	unknown function
19731	phrog_19731	NA	unknown function
19732	phrog_19732	NA	unknown function
19733	phrog_19733	NA	unknown function
19734	phrog_19734	NA	unknown function
19735	phrog_19735	NA	unknown function
19736	phrog_19736	NA	unknown function
19737	phrog_19737	NA	unknown function
19738	phrog_19738	NA	unknown function
19739	phrog_19739	NA	unknown function
19740	phrog_19740	NA	unknown function
19741	phrog_19741	NA	unknown function
19742	phrog_19742	NA	unknown function
19743	phrog_19743	NA	unknown function
19744	phrog_19744	NA	unknown function
19745	phrog_19745	NA	unknown function
19746	phrog_19746	NA	unknown function
19747	phrog_19747	NA	unknown function
19748	phrog_19748	NA	unknown function
19749	phrog_19749	NA	unknown function
19750	phrog_19750	NA	unknown function
19751	phrog_19751	NA	unknown function
19752	phrog_19752	NA	unknown function
19753	phrog_19753	NA	unknown function
19754	phrog_19754	NA	unknown function
19755	phrog_19755	helicase	DNA, RNA and nucleotide metabolism
19756	phrog_19756	NA	unknown function
19757	phrog_19757	NA	unknown function
19758	phrog_19758	NA	unknown function
19759	phrog_19759	NA	unknown function
19760	phrog_19760	NA	unknown function
19761	phrog_19761	membrane protein	moron, auxiliary metabolic gene and host takeover
19762	phrog_19762	NA	unknown function
19763	phrog_19763	NA	unknown function
19764	phrog_19764	NA	unknown function
19765	phrog_19765	NA	unknown function
19766	phrog_19766	NA	unknown function
19767	phrog_19767	NA	unknown function
19768	phrog_19768	NA	unknown function
19769	phrog_19769	NA	unknown function
19770	phrog_19770	NA	unknown function
19771	phrog_19771	NA	unknown function
19772	phrog_19772	NA	unknown function
19773	phrog_19773	NA	unknown function
19774	phrog_19774	NA	unknown function
19775	phrog_19775	NA	unknown function
19776	phrog_19776	NA	unknown function
19777	phrog_19777	head scaffolding protein	head and packaging
19778	phrog_19778	NA	unknown function
19779	phrog_19779	NA	unknown function
19780	phrog_19780	NA	unknown function
19781	phrog_19781	NA	unknown function
19782	phrog_19782	NA	unknown function
19783	phrog_19783	NA	unknown function
19784	phrog_19784	tail spike protein	tail
19785	phrog_19785	DNA polymerase/primase	DNA, RNA and nucleotide metabolism
19786	phrog_19786	NA	unknown function
19787	phrog_19787	NA	unknown function
19788	phrog_19788	NA	unknown function
19789	phrog_19789	NA	unknown function
19790	phrog_19790	NA	unknown function
19791	phrog_19791	NA	unknown function
19792	phrog_19792	membrane protein	moron, auxiliary metabolic gene and host takeover
19793	phrog_19793	NA	unknown function
19794	phrog_19794	NA	unknown function
19795	phrog_19795	NA	unknown function
19796	phrog_19796	NA	unknown function
19797	phrog_19797	NA	unknown function
19798	phrog_19798	NA	unknown function
19799	phrog_19799	NA	unknown function
19800	phrog_19800	NA	unknown function
19801	phrog_19801	NA	unknown function
19802	phrog_19802	NA	unknown function
19803	phrog_19803	NA	unknown function
19804	phrog_19804	NA	unknown function
19805	phrog_19805	NA	unknown function
19806	phrog_19806	NA	unknown function
19807	phrog_19807	NA	unknown function
19808	phrog_19808	NA	unknown function
19809	phrog_19809	NA	unknown function
19810	phrog_19810	DNA endonuclease V	DNA, RNA and nucleotide metabolism
19811	phrog_19811	NA	unknown function
19812	phrog_19812	NA	unknown function
19813	phrog_19813	NA	unknown function
19814	phrog_19814	NA	unknown function
19815	phrog_19815	NA	unknown function
19816	phrog_19816	NA	unknown function
19817	phrog_19817	NA	unknown function
19818	phrog_19818	NA	unknown function
19819	phrog_19819	NA	unknown function
19820	phrog_19820	NA	unknown function
19821	phrog_19821	NA	unknown function
19822	phrog_19822	NA	unknown function
19823	phrog_19823	NA	unknown function
19824	phrog_19824	NA	unknown function
19825	phrog_19825	NA	unknown function
19826	phrog_19826	NA	unknown function
19827	phrog_19827	NA	unknown function
19828	phrog_19828	NA	unknown function
19829	phrog_19829	NA	unknown function
19830	phrog_19830	NA	unknown function
19831	phrog_19831	NA	unknown function
19832	phrog_19832	NA	unknown function
19833	phrog_19833	NA	unknown function
19834	phrog_19834	NA	unknown function
19835	phrog_19835	NA	unknown function
19836	phrog_19836	NA	unknown function
19837	phrog_19837	NA	unknown function
19838	phrog_19838	virion structural protein	head and packaging
19839	phrog_19839	NA	unknown function
19840	phrog_19840	NA	unknown function
19841	phrog_19841	NA	unknown function
19842	phrog_19842	polymerase	DNA, RNA and nucleotide metabolism
19843	phrog_19843	NA	unknown function
19844	phrog_19844	NA	unknown function
19845	phrog_19845	NA	unknown function
19846	phrog_19846	NA	unknown function
19847	phrog_19847	DNA primase	DNA, RNA and nucleotide metabolism
19848	phrog_19848	NA	unknown function
19849	phrog_19849	NA	unknown function
19850	phrog_19850	NA	unknown function
19851	phrog_19851	NA	unknown function
19852	phrog_19852	NA	unknown function
19853	phrog_19853	NA	unknown function
19854	phrog_19854	NA	unknown function
19855	phrog_19855	virion structural protein	head and packaging
19856	phrog_19856	NA	unknown function
19857	phrog_19857	NA	unknown function
19858	phrog_19858	NA	unknown function
19859	phrog_19859	transcriptional regulator	transcription regulation
19860	phrog_19860	NA	unknown function
19861	phrog_19861	NA	unknown function
19862	phrog_19862	NA	unknown function
19863	phrog_19863	NA	unknown function
19864	phrog_19864	NA	unknown function
19865	phrog_19865	NA	unknown function
19866	phrog_19866	NA	unknown function
19867	phrog_19867	NA	unknown function
19868	phrog_19868	NA	unknown function
19869	phrog_19869	NA	unknown function
19870	phrog_19870	NA	unknown function
19871	phrog_19871	NA	unknown function
19872	phrog_19872	NA	unknown function
19873	phrog_19873	NA	unknown function
19874	phrog_19874	NA	unknown function
19875	phrog_19875	NA	unknown function
19876	phrog_19876	NA	unknown function
19877	phrog_19877	NA	unknown function
19878	phrog_19878	NA	unknown function
19879	phrog_19879	NA	unknown function
19880	phrog_19880	transcriptional regulator	transcription regulation
19881	phrog_19881	NA	unknown function
19882	phrog_19882	NA	unknown function
19883	phrog_19883	NA	unknown function
19884	phrog_19884	NA	unknown function
19885	phrog_19885	NA	unknown function
19886	phrog_19886	NA	unknown function
19887	phrog_19887	NA	unknown function
19888	phrog_19888	NA	unknown function
19889	phrog_19889	NA	unknown function
19890	phrog_19890	NA	unknown function
19891	phrog_19891	major tail protein	tail
19892	phrog_19892	NA	unknown function
19893	phrog_19893	NA	unknown function
19894	phrog_19894	NA	unknown function
19895	phrog_19895	NA	unknown function
19896	phrog_19896	NA	unknown function
19897	phrog_19897	NA	unknown function
19898	phrog_19898	NA	unknown function
